"green","industrial","urban","water","fkt","area","sum","p_water","p_green","p_industrial","p_urban","sum_check","urban_index1","urban_index2","index1_s","index2_s"
3658.2764472022,3890.57269867067,20504.6192950525,175.788580730557,"Ambohimanandray",78224.977,28229.2570216559,0.00622717702402519,0.129591665993751,0.137820584356366,0.726360572625857,1,-0.96892151694349,0.00890741951407498,-0.627391344614531,0.00979024506677578
246732.904373165,6397.51365641653,54938.3548828058,3777.93093153297,"Ambohimandroso",864054.154,311846.70384392,0.0121147053503052,0.791199333941509,0.0205149311426376,0.176171029565548,1,4.0595535497872,1.79389682253444,2.62862235547219,1.97169219316223
1542.95014938596,1709.84769796437,15212.4829885853,41,"Ambohimiadana Atsimo",51279.007,18506.2808359356,0.00221546405587804,0.0833744047799082,0.0923928320942898,0.822017299069924,1,-1.07904674598842,0.29614535585191,-0.698699096912609,0.325496694592229
1844.45137729929,2587.45041797682,20952.3150023428,38.7820291630924,"Ambohimiadana Avaratra",70445.967,25422.998826782,0.00152547028095825,0.0725505039695099,0.101775972048233,0.824148053701299,1,-1.20917337024513,0.237418455926478,-0.782958055285317,0.260949297742502
48539.0895338705,21170.2698342535,97591.5712065873,3956.26952949283,"Ambohimiandra Fenomanana Antsa",474234.601,171257.200104204,0.0231013325400951,0.283428022321608,0.123616816235301,0.569853828902996,1,0.332487478060264,-0.0480832924447801,0.215290673475558,-0.0528488880430521
13761.6380223815,17251.0837404763,84126.7568737085,646.062161952257,"Ambohimirary",320746.12,115785.540798519,0.00557981728544574,0.118854547186755,0.148991692930773,0.726573942597027,1,-1.10753276397574,-0.0614261675135568,-0.717144224629611,-0.0675141922439244
14114.7104400796,4339.97858708154,26187.7127470254,480.436630930286,"Ambohimitsinjo",125032.926,45122.8384051168,0.0106473051765247,0.312806351261781,0.0961814181128597,0.580364925448834,1,0.509198207442581,0.487048569234414,0.329713544860148,0.535320565590606
231597.850558266,37772.376995645,231096.467537737,35678.3384745617,"Ambohipo Tanana Ampahateza And",1484689.852,536145.033566209,0.0665460579523502,0.431968657842031,0.0704517894055629,0.431033494800056,1,2.15558551495571,-0.557136268608131,1.39577424075158,-0.61235474501271
29373.2797845754,6693.99695809865,33976.1089623751,1944.18990820227,"Ambohipotsy Ambohimitsimbina A",199343.106,71987.5756132514,0.027007298018304,0.408032629719071,0.0929882261080956,0.471971846154529,1,1.36191930300017,0.268044434857931,0.881863358201794,0.294610655970331
94717.5279043729,21638.6167138956,122897.266006198,3263.65407004952,"Ambohitrakely",671753.91,242517.064694516,0.0134574203021983,0.39056026025914,0.0892251303682584,0.506757189070404,1,1.09111218431356,0.602195489277891,0.706511650810728,0.661879841723134
6355.68649273477,3590.13962340964,16642.6242639439,702.028498644009,"Ambohitsiroa Vn",75583.176,27290.4788787323,0.0257243012027578,0.232890251614009,0.131552826147271,0.609832621035962,1,-0.00599594677840307,-0.256371669797215,-0.00388246627384886,-0.281780988481253
36422.0140053125,16698.299423822,86671.9852789087,1231.03425260301,"Ambohitsoa Ankazolava Antanamb",390452.841,141023.332960646,0.00872929483907848,0.25826941712884,0.118408061086472,0.61459322694561,1,0.00851265579726532,0.301264176694994,0.00551207344815147,0.331122848208046
261092.691480581,62084.2340945136,377357.147581694,36154.2011395684,"Ambolokandrina 5a",2040219.016,736688.274296358,0.0490766615962509,0.354414072532866,0.0842747689364446,0.512234496934439,1,1.34667941717541,-0.340526356726091,0.87199530150972,-0.37427635229
338975.663056867,5604.88907859132,43315.2943291472,6170.0795674363,"Amorona",1092061.138,394065.926032042,0.0156574805377479,0.860200389488394,0.0142232268976628,0.109918903076196,1,4.59029341833994,1.87013963114135,2.97228445188455,2.05549152243615
45744.4300789554,29372.8598670851,136413.512415031,1896.41628675163,"Ampahibe",591148.601,213427.218647823,0.00888554092943931,0.214332690875939,0.137624713722917,0.639157054471705,1,-0.379681741343241,0.100534551379933,-0.245849673127669,0.110498657229812
2019.58650249662,3491.95803077117,21367.624850509,56,"Ampandrana Andrefana",74609.432,26935.1693837768,0.00207906619045541,0.0749795360007287,0.129643069290457,0.793298328518359,1,-1.33583089990524,0.0613420605728196,-0.86497072240998,0.0674217493584925
21609.8471057703,11372.470066344,55297.8059430408,1413.22904299945,"Ampandrana Ankadivato",248435.346,89693.3521581545,0.0157562295197478,0.240930309613872,0.126792786674882,0.616520674191498,1,-0.0580486977697096,0.0403066806160807,-0.0375874102391151,0.0443015264337947
6180.48478654784,3460.48823606066,29245.3181384431,357.497509263456,"Ampandrana Atsinanana",108703.113,39243.7886703151,0.0091096584039521,0.157489503331846,0.0881792597838101,0.745221578480392,1,-0.482315521110241,0.284359889053934,-0.312306598652469,0.312543155354943
5018.71005283057,5675.61416452082,37470.6415724662,148.315762594575,"Ampandrana Besarety",133827,48313.2815524122,0.00306987556690133,0.103878475888376,0.117475236252865,0.775576412291857,1,-1.06875691551855,0.162768181354943,-0.692036275970499,0.178900340555453
150948.403797687,20868.8265257704,32732.7824623964,2463.30328356475,"Ampandriambehivavy",573727.921,207013.316069419,0.0118992503976832,0.729172435202521,0.100809102148638,0.158119212251157,1,3.22013724600603,1.20386778100164,2.08508759614313,1.3231846311244
63416.7347490627,9796.85396946366,58112.2344671993,2915.87457233085,"Ampangabe Anjanakinifolo",371750.616,134241.697758056,0.0217210793742055,0.472407126907457,0.0729792168385751,0.432892576879762,1,1.82088141975609,0.641942080724477,1.1790482741349,0.705565767845308
28975.402210393,18450.4630144775,103980.035822745,1319.58600807283,"Ampanotokana",423068.768,152725.487055688,0.00864024750231552,0.189722113636656,0.120808015545892,0.680829623315136,1,-0.453257844936885,0.161382717268557,-0.293491313609276,0.177377561380687
11531.3684881909,14071.0920617022,50843.831748657,1401.85840350855,"Amparibe Ambohidahy Mahamasina",215607.581,77848.1507020586,0.0180076005770999,0.148126427978025,0.180750498692708,0.653115472752167,1,-0.924749892504259,-0.512380440777929,-0.598789549354417,-0.563163110787812
545086.753677248,30192.2359923364,120212.808978512,4064.51027604922,"Ampefiloha Ankeniheny",1939036.502,699556.308924145,0.00581012596727213,0.779189247132289,0.0431591218707889,0.17184150502965,1,3.77711303534276,1.79634674271927,2.4457378482833,1.97438492801834
11374.9027020068,16431.3465028551,49639.7852751881,874.846063818084,"Analamahitsy Cite",217033.426,78320.880543868,0.0111700233417074,0.145234612060262,0.209795221769139,0.633800142828891,1,-1.18898884077438,-0.517640520754725,-0.769888267006684,-0.568944523907773
87063.4138113185,58727.6025444319,270511.713075146,6428.64626521082,"Analamahitsy Tanana",1171349.882,422731.375696107,0.0152074027025433,0.205954463796192,0.138924163004759,0.639913970496505,1,-0.358846989000827,-0.0834601381011757,-0.232358855700008,-0.0917319773730579
2278.98903523164,2691.05022679475,25294.7326079369,54.991914331913,"Anatihazo Isotry",83976.259,30319.7637842952,0.00181373162149757,0.0751651316100324,0.0887556461831222,0.834265490585348,1,-1.11836476552381,0.312782676241843,-0.72415810954936,0.343782960734127
20447.7902561406,7910.91967916116,45331.4678155019,1391.88764174004,"Andafiavaratra Ambavahadimitaf",207935.276,75082.0653925437,0.0185382172754969,0.272339208427946,0.105363639609557,0.603758934687,1,0.298572675919443,0.156255115303038,0.193330325867025,0.171741756334345
36682.2979064076,8775.2764528787,61520.7579487808,2328.26396264881,"Andavamamba Ambilanibe",302711.58,109306.596270716,0.0213003061304963,0.33559088982661,0.0802813073709227,0.562827496671971,1,0.882544052286213,0.353909786068384,0.571460629125132,0.38898623014945
3670.70169720519,5847.81742156297,34850.4280072312,241.306725025177,"Andavamamba Anatihazo I",123550.441,44610.2538510245,0.00540922106901741,0.0822838110149174,0.13108684476649,0.781220123149575,1,-1.25240298715227,-0.0182714014236082,-0.810949886413291,-0.0200823030023345
14497.4361186736,7921.23276941883,50134.5590835609,3419.26098798879,"Andavamamba Anatihazo II",210402.272,75972.4889596422,0.0450065679670592,0.190824814576957,0.104264489394664,0.65990412806132,1,0.117650086043486,-0.661587538422563,0.0761802110760046,-0.727158311567912
35236.4985748096,6592.58926395362,44129.1468075468,6392.62706291187,"Andavamamba Anjezika I",255775.533,92350.8617092219,0.0692210873249872,0.381550295499744,0.0713863318862276,0.477842285289041,1,1.85618574258082,-0.724682071534567,1.20190835741346,-0.796506223223386
42201.4633084724,5161.04345501428,41554.980517824,4817.05398457759,"Andavamamba Anjezika II",259599.24,93734.5412658883,0.0513903830916875,0.450223180681744,0.0550602092389231,0.443326226987645,1,2.15964852214137,-0.0460848365402872,1.39840509938854,-0.0506523626600031
11989.3244699175,7182.30248808928,33017.0594109177,587.698254802468,"Andohamandry",146141.308,52776.3846237269,0.0111356292969385,0.227172144423993,0.136089323649129,0.625602902629939,1,-0.258193553167739,0.0764845754649511,-0.167184232840356,0.0840650579493829
200716.579544412,31257.6988424006,160093.778974063,86960.7140779651,"Andohan'i Mandroseza Ambohibat",1326505.949,479028.77143884,0.181535471902376,0.419007357202214,0.0652522368301868,0.334204934065223,1,3.60019325041265,-3.47155948604025,2.33117961026795,-3.81563011358332
47395.5362869492,20292.8644748507,90412.2535355148,8276.95633231755,"Andohatapenaka I",460843.41,166377.610629632,0.0497480177831296,0.284867273352391,0.121968721620988,0.543415987243491,1,0.698648153145347,-0.712515482672811,0.4523852515909,-0.783133788435165
251001.620221194,61632.7873537022,205403.289124216,6533.39623994869,"Andohatapenaka II",1453221.842,524571.09293906,0.0124547393630546,0.47848923358488,0.117491772198858,0.391564254853207,1,1.50042452235742,0.622676701579689,0.97154758369283,0.684390972739521
124311.944049981,12893.6751556389,89383.2007991531,5971.55606234539,"Andohatapenaka IIi",644216.957,232560.376067118,0.0256774441258298,0.534536218732737,0.0554422699760245,0.384344067165409,1,2.37256646994147,0.762069772767104,1.53627269261143,0.837599466555143
121261.66236238,55606.1950860898,89174.5819062373,8640.87286173136,"Andraharo",761047.048,274683.312216438,0.0314575821589144,0.441459881140617,0.202437471127749,0.324645065572719,1,1.05019912922671,-0.436790277743518,0.680019828517219,-0.480081111610043
76522.8034618732,59315.00632196,308702.384061887,3473.71220218029,"Andraisoro",1240938.446,448013.906047901,0.00775358120649248,0.170804527334675,0.132395458090129,0.689046433368703,1,-0.650660850927614,0.0793888187163381,-0.421312747227719,0.0872571444026683
201.800288289436,1188.3075418165,16185.1641826668,1,"Andranomanalina Afovoany",48682.351,17576.2720127727,5.6894886428322e-05,0.0114814044834301,0.067608622633568,0.920853077996574,1,-1.44360894229171,0.36506229595877,-0.934758635827448,0.401244079323837
328.765069358051,636.212174297074,10163.9414719864,29.0080856624991,"Andranomanalina I",30904.543,11157.926801304,0.00259977379123055,0.0294647092791134,0.0570188517657887,0.910916665163867,1,-1.23604553506015,0.397275508354053,-0.800358188651312,0.43664998372068
75.8400555863045,675.037766145459,8552.12660927921,0,"Andranomanalina Isotry",25767.637,9303.00443101097,0,0.00815221105705341,0.0725612646055787,0.919286524337368,1,-1.49271031625699,0.330702451633559,-0.966552518506071,0.363478787606237
32273.8100944418,39638.3878474776,116601.89978779,1309.93699776474,"Andranomena",526132.943,189824.034727474,0.00690079630667101,0.170019619174023,0.208816485775289,0.614263098744017,1,-1.07758789889677,-0.357121006302383,-0.697754471344473,-0.392515718460241
749.894462542334,3141.66510664549,16209.2458386332,10,"Andravoahangy Andrefana",55709.206,20110.805407821,0.00049724512754278,0.0372881367670487,0.156217766665064,0.805996851440344,1,-1.74546715007988,-0.127561223951172,-1.13021639329842,-0.140203977316491
1048.82529059328,4318.06824670293,28675.4822754502,29,"Andravoahangy Atsinanana",94380.865,34071.3758127464,0.0008511543578217,0.0307831798855889,0.12673595191561,0.841629713840979,1,-1.624905579374,0.0275105284393976,-1.05215095184491,0.0302371315185751
6204.11378012365,11562.6012777547,48076.3480363519,406,"Andravoahangy Tsena",183527.575,66249.0630942303,0.00612838855430333,0.0936483248268604,0.17453229883883,0.725690987780006,1,-1.40225137429195,-0.274994932796868,-0.907978984696145,-0.302250026503042
14715.2029601529,23548.7652473166,80329.7446485791,347.332204038277,"Andrefan'ambohijanahary IIIG-I",329393.315,118941.045060087,0.00292020474397893,0.123718460290298,0.197986870179425,0.675374464786298,1,-1.37377599918414,-0.277597454987903,-0.889540748404679,-0.305110487942149
9510.88407027093,8117.54619570845,41260.6291330273,416.513216018677,"Andrefan'ambohijanahary IIIH-I",164237.089,59305.5726150254,0.00702317164564652,0.160370832805369,0.136876617791088,0.695729377757896,1,-0.752424606052367,0.051711687770593,-0.487206318630847,0.056836898193772
119150.605885218,102962.956733258,175524.875291954,8765.30059296652,"Andrefan'ankadimbahoaka",1125169.715,406403.738503397,0.0215679625026216,0.293182848966883,0.25335140152112,0.431897787009375,1,-0.320978931433938,-0.766267667225594,-0.207838715379688,-0.842213419613955
15907.6248473504,6754.94291244627,56341.8238704821,3338.28948096291,"Andrefan'i Mananjara",228011.66,82342.6811112417,0.0405414231831122,0.193188084632073,0.0820345271891331,0.684235964995681,1,0.194245794130746,-0.410891465817695,0.125777091161981,-0.451615435856084
