"","compact_ur","industrial","ricefield","sparse_urb","water","name_transect","id_transect","sum","p_water","p_ricefield","p_industrial","p_sparse","p_compact","sum_check"
"25",8036.48446105552,8644.85779297512,5197.14009947445,6430.30500448921,873.621726350859,"Ambohimiandra Equipe06",25,29207.4090843452,0.0299109627912566,0.177939100468177,0.29598167259583,0.220160062329383,0.275152254616209,0.999144052800856
"26",7594.60403381035,9824.42004048808,4814.27021199323,6572.95276235307,842.081938269912,"Ambohimiandra Equipe07",26,29674.3289869146,0.0283774550939717,0.162236868578095,0.331074715954666,0.221502995577474,0.255931786601116,0.999123821805323
"27",7158.94470464684,5457.12432699626,6996.04833347934,6363.08742156266,701.595899324238,"Ambohimiandra Equipe08",27,26703.8006860093,0.0262732600341725,0.261986988883748,0.20435758906242,0.238283961761908,0.268087108229412,0.99898890797166
"28",9140.63660890505,9810.1093279603,3889.9488343132,7366.1913493561,661.88606289681,"Ambohimiandra Equipe09",28,30896.7721834315,0.02142249873117,0.12590146346741,0.317512433652245,0.238412974197552,0.295844386418034,0.999093756466411
"29",10757.9172621312,6225.16465705301,7922.84456520711,9067.93174776401,780.517341246828,"Ambohimiandra Equipe10",29,34783.3755734022,0.0224393788233614,0.227776759288005,0.178969538017271,0.260697289963369,0.309283302289887,0.999166268381894
"30",14596.1227837473,6041.65028263333,2928.7952366984,6777.03457962544,261.458142980933,"Ampandrana Equipe01",30,30635.0610256854,0.00853460493392583,0.0956027224572136,0.1972135873197,0.221218249702306,0.476451565463161,0.999020729876306
"31",13492.3482882923,5662.60069524424,4429.23674386699,6702.14341317248,403.461210586131,"Ampandrana Equipe02",31,30720.7903511621,0.0131331650642532,0.144177174260084,0.184324707486897,0.218163118089146,0.439192746477692,0.998990911378072
"32",14204.5017329753,4895.48613006662,1400.78152721007,4921.95286894859,79.0884303599596,"Ampandrana Equipe03",32,25533.8106895605,0.00309740020091458,0.0548598696935893,0.191725637414087,0.192762174388679,0.556301678025004,0.998746759722274
"33",9657.96871294365,5260.52001177854,3541.33550790047,5345.92069144088,409.402083197143,"Ampandrana Equipe04",33,24248.1470072607,0.0168838502618181,0.14604561358194,0.216945237514577,0.220467184145664,0.398297185762349,0.998639071266348
"34",9595.26211810878,13335.9094770664,8704.26284261521,10403.5729304776,1808.54006657338,"Analamahitsy Equipe01",34,43881.5474348414,0.0412141360616062,0.198358156250983,0.303907000929458,0.237083091609876,0.218662801997959,0.999225186849883
"35",10214.6402813027,8540.23703265985,6028.68595391864,7942.37979167189,485.085863432819,"Analamahitsy Equipe02",35,33246.0289229859,0.0145907911154297,0.181335520337904,0.25687991346104,0.238897096855397,0.307243920919542,0.998947242689312
"36",14663.3395728208,6259.10648844336,2592.96206414074,7034.51270051176,313.576808582788,"Analamahitsy Equipe03",36,30899.4976344995,0.0101482817711793,0.083915994195507,0.20256337376356,0.227657833914351,0.474549448870299,0.998834932514896
"37",10852.2217643736,6512.19183742675,2287.35429817614,6055.80838559334,307.568053127965,"Analamahitsy Equipe04",37,26052.1443386978,0.0118058632383325,0.0877990797394176,0.249967593944025,0.232449517662086,0.416557716834607,0.998579771418469
"38",14687.4496053856,7460.43222714,2391.82914221282,7678.40246446269,225.810285087675,"Analamahitsy Equipe05",38,32481.9237242888,0.0069518753570258,0.0736356985046515,0.229679506991803,0.236390015863533,0.452173021833768,0.998830118550781
"39",13463.5832128871,6057.61510269363,1459.014726194,5904.23829640426,171.920588314533,"Analamahitsy Equipe06",39,27095.3719264935,0.00634501673499567,0.0538473777053931,0.223566412711633,0.217905785254461,0.496896047391863,0.998560639798346
"40",7858.91001247005,4457.60697927795,2000.73269669234,4787.38137695791,182.707913795719,"Analamahitsy Equipe07",40,19327.338979194,0.009453340368915,0.103518270096372,0.230637388006523,0.247699974741042,0.406621419582397,0.997930392795249
"41",11585.7830045661,7913.67877529058,2940.089146778,6536.21376128019,303.746292058706,"Analamahitsy Equipe08",41,29320.5109799735,0.0103595156396207,0.100274144225731,0.269902485011116,0.222922914465732,0.395142602135391,0.998601661477591
"42",13048.6875167156,5576.23865247597,747.177554165886,4573.63543763338,82.9107850492001,"Analamahitsy Equipe09",42,24070.64994604,0.00344447637413464,0.0310410211540136,0.231661324682815,0.190008805241497,0.542099508985726,0.998255136438187
"43",11355.2815490796,5360.5598463596,2047.03358975006,5726.44625181943,220.30751459673,"Analamahitsy Equipe10",43,24752.6287516054,0.00890036839349605,0.0826996441586955,0.21656527474933,0.231346993860118,0.458750529611652,0.998262810773292
"44",11946.6834923742,5657.43917929415,2194.99071380534,5118.46541544698,246.302769489586,"Andavamamba Equipe05",44,25207.8815704103,0.00977086348178911,0.0870755722837846,0.224431361417336,0.203050200833028,0.473926516157453,0.998254514173391
"45",10245.1853770427,5473.72091709628,4506.78572867793,7054.48031884342,295.815861029201,"Andavamamba Equipe06",45,27620.9882026895,0.0107098217796711,0.163165260258107,0.19817252289921,0.255402893881853,0.370920305307725,0.998370804126566
"46",10436.7867724418,5514.68452544795,2736.0224723143,5401.31306750392,344.789111506543,"Andavamamba Equipe07",46,24479.5959492145,0.014084755002568,0.111767468629403,0.225276778950467,0.22064551550236,0.426346365932428,0.998120884017227
"47",13145.0545955742,9811.85366604858,3378.79300148325,7061.73860575388,324.665381558938,"Andraharo Equipe05",47,33769.1052504188,0.00961427254738741,0.100055745523235,0.29055711110163,0.209118321417956,0.389262744692093,0.998608195282301
"48",4551.82609489274,6031.65164006913,5399.51837625022,3977.54703056731,525.247327420861,"Andraharo Equipe07",48,20533.7904692003,0.0255796575020432,0.26295770302854,0.293742728558389,0.193707393505035,0.221674907110807,0.997662389704814
"49",7261.93852760179,6505.72395155309,12360.0299470663,6398.8486005572,1246.55931334104,"Andraharo Equipe08",49,33822.1003401195,0.0368563543010482,0.365442412587399,0.192351269913183,0.189191343417752,0.214709862917288,0.99855124313667
"50",17187.1779624647,11154.4368584746,12987.6938568969,14864.6025407846,840.124288661675,"Andraisoro Equipe01",50,57084.0355072824,0.0147173247510593,0.227518845531514,0.19540378950699,0.260398593208924,0.301085545367094,0.999124098365582
"51",13896.8502427858,11045.1121481079,4862.02424720793,9453.79846301134,581.79826622433,"Andraisoro Equipe02",51,39890.5833673373,0.014584852291248,0.121884009627921,0.276885199857763,0.236993236623162,0.348374204378385,0.998721502778479
"52",12345.3550710576,11031.1492617102,3481.01949519093,7314.45777463546,721.030098250601,"Andraisoro Equipe03",52,34945.0117008448,0.0206332767727524,0.0996142031655628,0.315671643098735,0.20931335886371,0.353279465943323,0.998511947844083
"53",8760.43012483416,7858.86559226342,4263.36383960602,7225.46023902379,639.134770702354,"Andraisoro Equipe04",53,28800.2545664297,0.0221919833808464,0.14803215818014,0.272874865537609,0.250881818504686,0.304178912885219,0.9981597384885
"54",8629.38944953271,6156.13914188964,2597.22296505258,4847.82634938868,404.626059681177,"Andraisoro Equipe05",54,22689.2039655448,0.017833418056254,0.11446954987917,0.271324597867699,0.213662249092143,0.380330198566555,0.997620013461821
"55",10179.8809182229,6781.77249709428,4606.05960661684,7593.8918712633,562.042703781393,"Andraisoro Equipe06",55,29778.6475969788,0.0188740170939938,0.154676588035655,0.227739438972451,0.255011307902168,0.341851687020728,0.998153039024996
"56",11153.1161962642,8584.76658571612,2959.95256375225,6380.0358831272,274.590466976631,"Andraisoro Equipe07",56,29408.4616958364,0.00933712445814557,0.100649690363482,0.291914846635162,0.216945583523346,0.379248541172192,0.998095786152326
"57",13812.4598191108,8061.67921086544,4628.08199359063,8828.00548842921,485.662712447291,"Andraisoro Equipe08",57,35872.8892244434,0.0135384331440013,0.129013360608744,0.22472901918846,0.246091287300436,0.385038956095546,0.998411056337186
"58",14206.4201615308,9677.34072588029,2344.35159323354,6924.35219074541,405.516119392501,"Andraisoro Equipe09",58,33615.9807907826,0.0120631946429388,0.0697391995736848,0.287879172293369,0.205983940609701,0.422609123022411,0.998274630142105
"59",13269.634663979,8527.35065521356,5322.83469797085,8895.80736545175,575.765184459742,"Andraisoro Equipe10",59,36650.3925670749,0.015709659409678,0.145232678974158,0.232667375652455,0.242720657061757,0.362059823498312,0.99839019459636
"60",8406.22654782989,3595.25951181151,1008.29730199464,3481.4786503869,79.9352888828143,"Anjanahary Equipe01",60,16631.1973009058,0.00480634601565703,0.0606268619000583,0.216175627452613,0.209334216135918,0.505449270773312,0.996392322277559
"61",7491.45517951971,2858.37899835981,520.180498119851,2908.55999507453,56.5510205775499,"Anjanahary Equipe03",61,13896.1256916515,0.00406955304178954,0.0374334911515925,0.205696109965174,0.209307260139561,0.539103872960824,0.995610287258941
"62",7317.52170962718,3106.45229785844,671.246923873114,2956.36602473666,61.6385516226292,"Anjanahary Equipe06",62,14175.225507718,0.00434832952668503,0.0473535270043949,0.219146587556372,0.208558659128703,0.516219068659118,0.995626171875273
"63",7179.77014505803,2876.29279698337,648.254251978884,2818.7844736074,46.7920225262642,"Anjanahary Equipe09",63,13632.893690154,0.00343228837470204,0.0475507450371355,0.210981825455054,0.206763474994543,0.526650490221563,0.995378824082997
"64",8177.5991679008,2631.15611294443,1005.22739571054,3783.24372205904,60.7466917335987,"Anjanahary Equipe10",64,15721.9730903484,0.00386380840270555,0.0639377379629047,0.167355337515472,0.240634155796994,0.520138224439588,0.995929264117664
"65",13681.4892749892,7610.74352300841,8669.75433759189,11070.9048005474,686.820619051337,"Ankazatoho Equipe01",65,41784.7125551883,0.0164371268114912,0.207486274463204,0.182141818325454,0.264951081951927,0.327428105600081,0.998444407152158
"66",8791.86441338753,15379.3283781572,7571.84251839989,8388.03615960982,2926.62836903858,"Ankazatoho Equipe02",66,43123.699838593,0.0678658923049879,0.175584250580085,0.356632859326084,0.194511050559327,0.203875466304943,0.998469519075427
"67",16052.8767283333,8568.8164762541,6388.63077073087,10149.287246364,333.243181525031,"Ankazatoho Equipe03",67,41559.8544032073,0.00801839145758205,0.153721201926007,0.206180137040923,0.244208922098167,0.386259214784315,0.998387867306993
"68",12054.9160793846,11803.3519073476,14291.4446003112,12112.4578042818,1254.46644154884,"Ankazatoho Equipe08",68,51584.6368328741,0.0243186056657354,0.277048467872579,0.228815256480114,0.234807464934264,0.233691983108083,0.998681778060776
