Month Created,Date Created,Time Created,Syncing Date,Latitude,Longitude,PetScannerChip,PetScannerSerial,AnswerCode,Organization,RegionName,ProjectName,UserName,FormName,SpeciesName,WardLocation,GpsDeleted,Accuracy,nombre de chien ,photo ,photo,animal loc_lat,animal loc_lon,collier ,couleur collier ,sexe ,âge,couleur ,date,remarque ,deja_vu,Gardien
Jun,27/06/2024,1:27 PM,27/06/2024,-18.9086367,47.5516133,,,C-270624132625-21261-14,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719484003121.jpg,Madagascar_Comptages_1719484018501.jpg,-18.90874024,47.55162768,non,,femelle ,1 à 3  ans,fauve roux,27/06/2024,,,
Jun,27/06/2024,1:26 PM,27/06/2024,-18.9086111,47.5516425,,,C-270624132505-21261-13,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719483937821.jpg,Madagascar_Comptages_1719483948895.jpg,-18.90862955,47.55161863,non,,mâle ,1 à 3  ans,Blanc,27/06/2024,,,
Jun,27/06/2024,1:22 PM,27/06/2024,-18.9082631,47.5525336,,,C-270624132053-21261-12,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719483674142.jpg,Madagascar_Comptages_1719483683864.jpg,-18.90829999,47.55255707,non,,mâle ,< 6 mois,noire,27/06/2024,,,
Jun,27/06/2024,1:20 PM,27/06/2024,-18.9083415,47.5525654,,,C-270624131924-21261-11,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719483598425.jpg,Madagascar_Comptages_1719483609608.jpg,-18.90830094,47.55256277,non,,mâle ,6 mois à 1 an ,fauve roux,27/06/2024,,,
Jun,27/06/2024,1:19 PM,27/06/2024,-18.9083893,47.5525416,,,C-270624131743-21261-10,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719483493141.jpg,Madagascar_Comptages_1719483501273.jpg,-18.90831173,47.55257115,oui,autre,mâle ,6 mois à 1 an ,fauve roux,27/06/2024,,,
Jun,27/06/2024,1:17 PM,27/06/2024,-18.9082985,47.552532,,,C-270624131545-21261-9,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719483381488.jpg,Madagascar_Comptages_1719483388638.jpg,-18.90835328,47.55254399,non,,,6 mois à 1 an ,"Blanc,Fauve charbonné (Feu)",27/06/2024,,,
Jun,27/06/2024,1:14 PM,27/06/2024,-18.9079682,47.5527223,,,C-270624131046-21261-8,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719483208278.jpg,Madagascar_Comptages_1719483221048.jpg,-18.90788163,47.55267341,non,,mâle ,6 mois à 1 an ,Autre,27/06/2024,,,
Jun,27/06/2024,1:10 PM,27/06/2024,-18.9067695,47.5524455,,,C-270624105047-21261-7,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719482962595.jpg,Madagascar_Comptages_1719482969121.jpg,-18.90677338,47.55237501,non,,mâle ,< 6 mois,fauve roux,27/06/2024,,,
Jun,27/06/2024,10:50 AM,27/06/2024,-18.9019717,47.5469385,,,C-270624104957-21261-6,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719474624074.jpg,Madagascar_Comptages_1719474629562.jpg,0,0,non,,mâle ,6 mois à 1 an ,marron,27/06/2024,,,
Jun,27/06/2024,10:49 AM,27/06/2024,-18.901915,47.5470433,,,C-270624104812-21261-5,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719474546179.jpg,Madagascar_Comptages_1719474551576.jpg,0,0,non,,mâle ,1 à 3  ans,fauve roux,27/06/2024,,,
