"","fid","id_transect","Name","fkt","tr_lengh","tr_area","green","industrial","urban","water","name_transect","sum","p_water","p_green","p_industrial","p_urban","sum_check","id_fkt","Seclasse","length","area_real","area_admin","percentage covared","pcc_bac","pcc_total","population","index1","index2","pop_dens_s","area_s","pcc_s","length_s"
"26",542,26,"Ambohimiandra Equipe07","Ambohimiandra",1428,82099,5908.97019980798,5080.50803365597,17940.4089837565,718.441769694211,"Ambohimiandra Equipe07",29648.3289869146,0.0242321167581248,0.199301964114602,0.1713590009035,0.605106918223773,1,5,"Pauvre",10172.046,573303,474234.601,1.208901668,3,9,8674,0.295264013590971,-1.69703044191773,-0.166743516223206,0.10368154233792,-0.172244675365849,0.0387493856011036
"27",540,27,"Ambohimiandra Equipe08","Ambohimiandra",1341,73874,9224.31667648635,2642.32579754229,14369.5868669026,440.571345078133,"Ambohimiandra Equipe08",26676.8006860093,0.0165151492588536,0.345780469894355,0.0990495760208631,0.538654804825929,1,5,"Pauvre",10172.046,573303,474234.601,1.208901668,3,9,8674,1.9730401347831,1.1473341613487,-0.166743516223206,0.10368154233792,-0.172244675365849,0.0387493856011036
"28",543,28,"Ambohimiandra Equipe09","Ambohimiandra",1470,85475,4753.43961172507,5407.32449783492,20349.1386761861,358.869397685397,"Ambohimiandra Equipe09",30868.7721834315,0.011625645346465,0.153988619420258,0.175171350052506,0.659214385180771,1,5,"Pauvre",10172.046,573303,474234.601,1.208901668,3,9,8674,-0.353234832315657,-1.02481532028106,-0.166743516223206,0.10368154233792,-0.172244675365849,0.0387493856011036
"29",575,29,"Ambohimiandra Equipe10","Ambohimiandra",1809,96240,10703.6380329004,2963.86577891273,20507.1160134201,579.755748169007,"Ambohimiandra Equipe10",34754.3755734022,0.0166815181859489,0.307979581169399,0.0852803634078525,0.590058537236799,1,5,"Pauvre",10172.046,573303,474234.601,1.208901668,3,9,8674,1.74287665950807,1.17127141950966,-0.166743516223206,0.10368154233792,-0.172244675365849,0.0387493856011036
"30",465,30,"Ampandrana Equipe01","Ampandrana",1492,84775,3519.87269826156,3274.84847451402,23727.6891855255,82.6506673842669,"Ampandrana Equipe01",30605.0610256854,0.0027005555491264,0.115009497785595,0.107003494349042,0.775286452316236,1,6,"Moyen",5399.022,290622,242530.113,1.198292436,4,6,4018,-0.359706536214458,0.747085927022891,-0.28350671396711,-0.981050560422627,-0.528372179838484,-0.970461450151506
"31",462,31,"Ampandrana Equipe02","Ampandrana",1483,85010,5154.86929267602,2844.36972423724,22414.1523748804,276.398959368467,"Ampandrana Equipe02",30689.7903511621,0.009006218556915,0.167966911265682,0.0926813018821921,0.730345568295211,1,6,"Moyen",5399.022,290622,242530.113,1.198292436,4,6,4018,0.321334916719328,0.823241230544925,-0.28350671396711,-0.981050560422627,-0.528372179838484,-0.970461450151506
"32",576,32,"Ampandrana Equipe03","Ampandrana",1170,70641,1617.86110424022,2894.14456991265,20948.9716563706,40.8333590370603,"Ampandrana Equipe03",25501.8106895605,0.00160119450081934,0.063441028714973,0.113487807008833,0.821469969775374,1,6,"Moyen",5399.022,290622,242530.113,1.198292436,4,6,4018,-0.880099410194986,0.409507927752744,-0.28350671396711,-0.981050560422627,-0.528372179838484,-0.970461450151506
"33",464,33,"Ampandrana Equipe04","Ampandrana",1253,67075,4281.97572174554,2915.85065010694,16664.5544102123,352.766225195955,"Ampandrana Equipe04",24215.1470072607,0.0145679984965684,0.176830465677604,0.12041432782682,0.688187207999008,1,6,"Moyen",5399.022,290622,242530.113,1.198292436,4,6,4018,0.296364016413112,-0.0935835614243015,-0.28350671396711,-0.981050560422627,-0.528372179838484,-0.970461450151506
"34",295,34,"Analamahitsy Equipe01","Analamahitsy",2047,121497,9792.1787685946,8517.82961292663,23115.6682298027,2421.87082351746,"Analamahitsy Equipe01",43847.5474348414,0.0552338948288139,0.223323294949302,0.19426011513151,0.527182695090374,1,7,"Moyen",14999.369,788259,1171349.882,0.672949229,7,15,19875,0.886540923783154,-4.47321446964039,-0.256367935538932,0.928532430374244,0.54001033357942,1.05944123196052
"35",296,35,"Analamahitsy Equipe02","Analamahitsy",1591,92020,7992.14253618914,4944.22457874164,20069.6639837057,204.997824349382,"Analamahitsy Equipe02",33211.0289229859,0.00617258275330038,0.240647242659129,0.148872971993941,0.604307202593629,1,7,"Moyen",14999.369,788259,1171349.882,0.672949229,7,15,19875,0.504342342266333,0.418277896835602,-0.256367935538932,0.928532430374244,0.54001033357942,1.05944123196052
